GeneID,GeneSymbol,Gene_AltReads_N2,Gene_AltReads_PRDE1,Gene_TotalReads_N2,Gene_TotalReads_PRDE1,Rate_N2,Rate_PRDE1,Log2FC
WBGene00003844,odc-1,49,120,24413,43372,0.00200712735018228,0.002766761966245504,0.4630663722905923
WBGene00009801,ipla-2,32,35,12393,9838,0.0025821027999677238,0.003557633665379142,0.4623715227989148
WBGene00008926,F17H10.2,6,8,4954,4797,0.0012111425111021397,0.0016677089847821555,0.4614989283237187
WBGene00022471,rnf-145,101,127,42036,38434,0.002402702445522885,0.0033043659260030183,0.4597154659895335
WBGene00006752,unc-13,32,50,16781,19068,0.0019069185388236696,0.002622194252150199,0.4595313495289018
WBGene00009388,F35B12.9,18,14,7243,4098,0.0024851580836669886,0.003416300634455832,0.4590973115673725
WBGene00050937,R02D5.8,17,12,9427,4841,0.001803330858173332,0.0024788266887006815,0.45899329335975786
WBGene00019125,ddl-1,98,109,56459,45715,0.001735772861722666,0.0023843377447227386,0.45801043683095194
WBGene00004347,rgs-4,18,7,4835,1369,0.003722854188210962,0.005113221329437546,0.4578233637215958
WBGene00008578,F08G2.7,15,9,4333,1894,0.0034618047542118624,0.004751847940865892,0.45696431163727763
WBGene00007400,bud-31,398,485,149934,133110,0.002654501313911454,0.0036436030350837654,0.4569249327482173
WBGene00017742,nfyc-1,98,101,51196,38441,0.0019142120478162356,0.0026274030332197394,0.4568868671968404
WBGene00016892,pgph-3,131,230,65172,83405,0.0020100656723746396,0.0027576284395419938,0.4561854449170442
WBGene00022354,Y82E9BR.22,34,52,16359,18244,0.0020783666483281376,0.0028502521376891033,0.4556393628734276
WBGene00009574,F40E10.6,65,107,33505,40226,0.0019400089538874794,0.0026599711629294487,0.45534729435876
WBGene00020109,R151.6,108,149,53978,54332,0.0020008151469117046,0.0027423985864683796,0.45485038653728005
WBGene00003412,mrp-6,4,38,1737,12045,0.002302820955670697,0.00315483603154836,0.454162779028145
WBGene00008876,F16A11.1,232,268,128466,108328,0.0018059253031930628,0.002473967949191345,0.4540885887970489
WBGene00044891,T07C4.12,33,44,15249,14853,0.0021640763328742867,0.002962364505487107,0.45299778076512753
WBGene00002255,lbp-3,176,223,90793,84108,0.0019384754331281046,0.002651353022304656,0.4518063234236143
WBGene00018690,fbxa-46,198,160,102033,60299,0.0019405486460262857,0.0026534436723660427,0.45140132404565486
WBGene00015470,C05D2.10,201,218,112381,89169,0.0017885585641701,0.002444795837118281,0.4509166335389441
WBGene00009582,F40F9.5,6,5,2029,1237,0.002957121734844751,0.004042037186742118,0.4508889589464956
WBGene00008052,ctns-1,182,197,105198,83318,0.0017300709138957015,0.002364435056050313,0.4506643421110535
WBGene00022797,best-24,45,55,18727,16748,0.002402947615741977,0.0032839742058753283,0.4506375973877485
WBGene00006762,unc-25,15,26,6654,8442,0.002254283137962128,0.003079838900734423,0.45018615945775087
WBGene00012366,maea-1,72,91,20511,18975,0.0035103115401491883,0.004795783926218709,0.4501675842738024
WBGene00000270,bre-5,133,106,47689,27822,0.0027889031013441255,0.003809934584142046,0.45006841740978265
WBGene00017436,F13H8.3,19,27,11135,11584,0.0017063313875168389,0.002330801104972376,0.4499280393118297
WBGene00021335,spp-23,46,91,16815,24354,0.002735652691049658,0.0037365525170403218,0.4498227171367791
WBGene00008170,C48B4.7,34,50,19767,21294,0.0017200384479182475,0.002348079271156194,0.4490403008895235
WBGene00007429,C08B6.8,56,89,29204,34000,0.0019175455417066154,0.0026176470588235292,0.44900974757373696
WBGene00011283,ttbk-7,46,67,19615,20944,0.0023451440224318124,0.003199006875477464,0.44794756741997666
WBGene00271694,T10E9.14,102,77,37042,20500,0.0027536310134441983,0.0037560975609756096,0.4478992847880607
WBGene00016704,hosl-1,39,31,14268,8316,0.0027333894028595458,0.003727753727753728,0.447615549133069
WBGene00006533,tba-7,58,55,16858,11722,0.0034405030252699013,0.004692032076437468,0.447593363874721
WBGene00201441,F22B3.19,8,12,8665,9534,9.232544720138488e-4,0.0012586532410320957,0.4470806246990131
WBGene00019464,K07B1.4,50,60,32180,28334,0.0015537600994406464,0.0021175972330062824,0.4466644459996577
WBGene00016274,C30G12.2,7,187,6246,122435,0.0011207172590457894,0.00152734103810185,0.4465998830070978
WBGene00016112,C25H3.3,18,19,12088,9365,0.0014890800794176043,0.0020288307528029898,0.4462271780356944
WBGene00010757,pad-2,3,48,1580,18556,0.0018987341772151898,0.002586764388876913,0.4461107122146293
WBGene00006638,tsp-12,136,143,88226,68159,0.0015414957042141771,0.002098035475872592,0.44470820378396037
WBGene00016380,ntp-1,66,47,37826,19800,0.001744831597314017,0.002373737373737374,0.4440725252618785
WBGene00016894,C53B7.3,26,46,15462,20114,0.001681541844522054,0.0022869643034702197,0.44364916711511126
WBGene00013024,cept-2,539,482,251273,165248,0.002145077266558683,0.0029168280402788534,0.44337072045985987
WBGene00007094,B0019.2,94,116,61593,55904,0.0015261474518208239,0.002074985689753864,0.4432070290688912
WBGene00009397,clec-66,8,20,4081,7519,0.0019603038470963,0.0026599281819390877,0.4403100040822275
WBGene00004774,sem-5,73,89,32247,28982,0.0022637764753310387,0.0030708715754606307,0.43991666585547257
WBGene00008743,F13D12.9,6,8,1500,1475,0.004,0.005423728813559322,0.4392850455255213
WBGene00010913,M110.3,57,50,25918,16778,0.002199243768809322,0.002980092978900942,0.4383498190633393
WBGene00045373,Y46G5A.40,30,30,29874,22060,0.001004217714400482,0.0013599274705349048,0.43745763030846035
WBGene00002131,inx-9,40,63,15219,17709,0.0026282935803929298,0.0035575131289174995,0.436742647296127
WBGene00022970,CD4.10,6,5,1936,1192,0.0030991735537190084,0.0041946308724832215,0.4366603109786391
WBGene00020799,T25D10.1,11,26,4046,7066,0.002718734552644587,0.003679592414378715,0.43661067017142563
WBGene00003584,ndx-7,44,69,31392,36405,0.0014016309887869521,0.0018953440461475072,0.4353531756004583
WBGene00002096,ins-13,9,17,10194,14240,8.828722778104767e-4,0.0011938202247191011,0.43530895185964386
WBGene00003564,ncs-2,217,339,94427,109155,0.0022980715261524775,0.00310567541569328,0.4344833550864361
WBGene00020726,T23C6.4,3,5,2117,2612,0.0014170996693434106,0.0019142419601837673,0.4338319666273646
WBGene00012565,fbxa-210,52,81,32515,37500,0.001599261879132708,0.00216,0.433625112913184
WBGene00020955,angl-1,145,226,48318,55761,0.0030009520261600232,0.004053011961765392,0.4335741773573556
WBGene00017423,F13C5.2,113,385,42850,108113,0.0026371061843640606,0.003561088860729052,0.43336277288543545
WBGene00219557,anr-14,10,12,12652,11261,7.903888713246917e-4,0.0010656247224935618,0.43106491940296965
WBGene00020861,T27E4.1,274,303,60654,49769,0.004517426715468065,0.006088127147421085,0.4304972921288778
WBGene00011978,T24B8.4,26,50,10850,15485,0.0023963133640552995,0.0032289312237649337,0.4302401312908111
WBGene00302976,F49E8.8,17,9,12447,4891,0.0013657909536434483,0.0018401144960130853,0.4300588534469898
WBGene00016822,C50E3.11,34,36,18422,14482,0.001845619368146781,0.0024858444966164893,0.4296310015988142
WBGene00044134,D1025.10,49,101,23641,36212,0.00207267036081384,0.002789130674914393,0.4283248410608281
WBGene00012747,Y40H7A.10,94,177,52040,72823,0.0018063028439661798,0.002430550787525919,0.4282434855125869
WBGene00004334,ref-1,9,12,2865,2839,0.0031413612565445027,0.004226840436773511,0.42818978919871914
WBGene00020716,phf-30,27,34,19466,18226,0.001387033802527484,0.0018654669153955886,0.42753382665829126
WBGene00001837,hda-4,45,38,21588,13556,0.002084491384102279,0.0028031867807612864,0.4273724676025548
WBGene00011145,R08D7.5,83,100,42605,38184,0.0019481281539725384,0.002618897967735177,0.4268712678435663
WBGene00018635,nprl-2,174,147,93285,58671,0.0018652516481749478,0.0025054967530807382,0.42572638508197397
WBGene00007882,C33A12.3,57,69,29018,26171,0.0019642980219174307,0.002636506056321883,0.42461347980043435
WBGene00020334,epg-7,111,148,53880,53535,0.0020601336302895324,0.0027645465583263284,0.4243049479709678
WBGene00009830,cutl-18,134,122,72011,48886,0.0018608268181250086,0.0024956020128462137,0.4234440840525048
WBGene00012538,Y37A1B.5,49,37,37057,20866,0.0013222872871522249,0.0017732195916802453,0.42333554905360693
WBGene00185078,F40G9.17,91,117,52138,49997,0.0017453680616824581,0.0023401404084245053,0.42306379132840377
WBGene00016905,ztf-3,17,25,13363,14658,0.0012721694230337498,0.0017055532814845135,0.4229490089975146
WBGene00018405,F44A2.5,18,31,7517,9657,0.0023945723027803643,0.0032101066583825203,0.42285323524328244
WBGene00012546,Y37D8A.4,99,108,45875,37343,0.002158038147138965,0.0028921082933883193,0.4224012069783595
WBGene00017620,tofu-2,58,110,49402,69923,0.0011740415367798875,0.001573159046379589,0.42218108368929647
WBGene00021473,sydn-1,47,45,30927,22104,0.0015197076987745336,0.002035830618892508,0.42182367240577234
WBGene00003993,pgl-2,57,55,46323,33369,0.0012304902532219416,0.0016482363870658396,0.42168993588148546
WBGene00021210,Y18H1A.4,23,36,13372,15628,0.001720011965300628,0.002303557716918352,0.42144514481902995
WBGene00016010,C23G10.1,20,132,7351,36229,0.0027207182696231806,0.0036434900218057357,0.42133346643294733
WBGene00011637,sds-22,112,136,82779,75063,0.0013530001570446612,0.0018118114117474655,0.42127078884793706
WBGene00006986,zip-1,19,63,6152,15237,0.0030884265279583875,0.004134672179562906,0.42090093868020345
WBGene00002190,kin-2,329,518,139515,164141,0.00235816937246891,0.0031558233470004447,0.42034910836410105
WBGene00015818,C16A11.5,132,100,47134,26684,0.002800526159460262,0.003747564083345825,0.42025524403783204
WBGene00019221,H20J04.6,24,23,11173,8002,0.0021480354425848025,0.0028742814296425895,0.420183529385609
WBGene00021475,tbca-1,14,26,11185,15527,0.0012516763522574877,0.0016745024795517486,0.4198709415714264
WBGene00001006,dlg-1,155,86,86135,35754,0.001799500783653567,0.002405325278290541,0.4186352759961946
WBGene00002021,hsp-17,111,138,52418,48775,0.002117593193177916,0.0028293182983085596,0.41802902652283763
WBGene00013605,Y95D11A.1,169,201,64972,57864,0.0026011204826694575,0.0034736623807548736,0.41732431373736995
WBGene00018921,sago-2,48,73,35098,39980,0.0013675992934070317,0.0018259129564782391,0.41697240941841446
WBGene00007153,clec-41,473,814,145358,187409,0.00325403486564207,0.004343441350201965,0.4166088478676159
WBGene00018422,F44E2.9,3,3,2178,1632,0.0013774104683195593,0.001838235294117647,0.4163628967454112
WBGene00019692,fubl-4,123,95,79377,45955,0.0015495672549982993,0.0020672396910020674,0.4158403023886166
WBGene00015683,C10G8.4,40,63,30472,35989,0.0013126804935678655,0.001750534885659507,0.41528000591796543
WBGene00016263,C30F12.4,291,336,152619,132259,0.0019067088632476953,0.002540469835701162,0.4140107600607084
WBGene00002058,ifd-2,58,36,27215,12680,0.002131177659379019,0.0028391167192429023,0.41379129690042676
WBGene00009784,F46C5.9,294,341,163153,142068,0.0018019895435572744,0.0024002590308866176,0.4135994672192574
WBGene00010444,magi-1,226,192,94882,60558,0.0023819059463333404,0.003170514217774695,0.4126003994201426
WBGene00044324,ufm-1,62,94,38009,43297,0.0016311926122760398,0.0021710511120862875,0.41246654460804627
WBGene00001208,egl-44,15,24,5020,6036,0.00298804780876494,0.003976143141153081,0.4121664634240886
WBGene00194706,C53A5.16,29,22,13197,7525,0.0021974691217700993,0.0029235880398671096,0.4118971436065784
WBGene00302988,F26D11.20,5,3,2501,1128,0.001999200319872051,0.0026595744680851063,0.4117723956159701
WBGene00018431,F44E7.9,33,28,18407,11742,0.001792796218829793,0.0023846022824050416,0.41153715418257386
WBGene00014207,ZK1058.9,90,195,56964,92817,0.0015799452285654098,0.0021009082387924627,0.41113860506551675
WBGene00018734,F53A10.2,19,23,7758,7070,0.0024490848156741426,0.003253182461103253,0.4096090034480768
WBGene00044588,ZK1236.9,11,18,6819,8404,0.0016131397565625459,0.002141837220371252,0.408977405670973
WBGene00013011,snx-14,183,229,76566,72192,0.00239009482015516,0.0031720966312056738,0.4083688662320027
WBGene00044318,tag-267,141,157,56103,47072,0.0025132345863857547,0.003335316111488783,0.4082781630262018
WBGene00002230,klp-20,70,26,29535,8267,0.0023700694091755544,0.003145034474416354,0.4081465212514365
WBGene00003658,nhr-68,41,55,22647,22920,0.0018103943127125005,0.002399650959860384,0.406520616991607
WBGene00015025,mrpl-9,70,103,43566,48364,0.001606757563237387,0.002129683235464395,0.4064865996667994
WBGene00012195,bath-34,88,94,60334,48641,0.0014585474193655318,0.0019325260582636048,0.40595557666094756
WBGene00009329,F32D8.4,30,20,13888,6991,0.0021601382488479265,0.0028608210556429693,0.4053056120823182
WBGene00004298,rad-54,198,180,71783,49287,0.0027583132496552107,0.0036520786414267455,0.40493152492435797
WBGene00010645,fecl-1,90,115,63376,61165,0.0014200959353698561,0.001880160222349383,0.40486721476232895
WBGene00018181,mpdu-1,29,37,22399,21601,0.0012947006562792982,0.0017128836627933893,0.40380859303819683
WBGene00004803,sir-2.4,21,17,12578,7700,0.0016695818095086659,0.002207792207792208,0.40311760825275655
WBGene00001688,gpr-1,166,154,69169,48533,0.002399919038875797,0.0031730987163373376,0.4029066673341299
WBGene00020761,T24C4.5,91,71,41347,24407,0.002200885191186785,0.0029090015159585363,0.4024401590220983
WBGene00011486,T05E12.3,8,23,2081,4528,0.0038443056222969728,0.0050795053003533566,0.401964962960465
WBGene00011805,T16G12.4,104,59,43506,18689,0.002390474877028456,0.0031569372358071592,0.4012283346071261
WBGene00198669,T20B12.11,9,8,2921,1967,0.0030811365970558027,0.004067107269954245,0.4005403991083361
WBGene00009218,acs-20,3,5,1446,1826,0.002074688796680498,0.002738225629791895,0.40034638113310184
WBGene00044488,Y54G2A.45,13,32,5656,10554,0.0022984441301272984,0.0030320257722190637,0.39962441847518937
WBGene00019396,K04F10.3,139,164,72454,64803,0.0019184586082203882,0.0025307470333163586,0.39961566837724183
WBGene00018408,F44B9.5,117,101,60785,39783,0.0019248169778728304,0.002538772842671493,0.39941004227131266
WBGene00005000,spp-15,73,102,34042,36063,0.002144409846660008,0.0028283836619249648,0.39939716599264524
WBGene00016652,got-2.1,96,145,69260,79319,0.0013860814322841468,0.0018280613724328345,0.39930248766527415
WBGene00016174,C27H5.4,1,4,1230,3731,8.130081300813008e-4,0.0010720986330742428,0.39909595540982223
WBGene00002216,klp-3,40,70,14566,19335,0.002746121103940684,0.0036203775536591673,0.3987449078976419
WBGene00006505,lagr-1,46,15,18518,4581,0.0024840695539475105,0.0032743942370661427,0.39852246316751155
WBGene00007444,C08F8.2,247,315,121311,117404,0.00203608906034902,0.0026830431671834008,0.3980695985855141
WBGene00007684,C18E9.4,24,26,26000,21378,9.230769230769231e-4,0.0012162035737674245,0.3978619513686597
WBGene00015463,hpo-9,204,247,130207,119658,0.0015667360433770843,0.0020642163499306355,0.39783204561545504
WBGene00018009,dhhc-3,159,212,64412,65226,0.0024684841333912936,0.003250237635298807,0.3969198301223108
WBGene00195151,F53H2.4,26,42,7325,8987,0.0035494880546075086,0.004673417158117281,0.39686686205165994
WBGene00018735,F53B1.2,71,43,25384,11686,0.0027970375039394896,0.0036796166352900906,0.39565586717001483
WBGene00014028,trxr-2,13,80,5631,26353,0.0023086485526549456,0.003035707509581452,0.3949842265311127
WBGene00006496,cgef-1,51,30,24477,10951,0.0020835886750827305,0.002739475846954616,0.39482938318799415
WBGene00017169,F01F1.15,20,12,10632,4854,0.0018811136192626034,0.002472187886279357,0.39420140195883435
WBGene00013695,epg-8,121,129,63874,51866,0.0018943545104424335,0.0024871784984382833,0.39280370706530726
WBGene00008148,C47E12.3,137,152,62097,52507,0.0022062257435946984,0.002894852114956101,0.39190923253796445
WBGene00004835,sls-2.3,217,235,6274,5179,0.034587185208798214,0.04537555512647229,0.39167768483327486
WBGene00009057,cept-1,47,36,23592,13775,0.0019922007460155986,0.0026134301270417425,0.3915815584805296
WBGene00013139,Y53C12A.3,46,42,37730,26271,0.001219188974291015,0.0015987210231814548,0.39099644947463935
WBGene00007757,C27A7.6,67,79,25786,23187,0.0025983091600093075,0.0034070815543192304,0.39096338104259387
WBGene00003851,odr-4,100,172,55892,73326,0.0017891648178630214,0.002345689114365982,0.39072552403785277
WBGene00011270,R31.2,284,371,150758,150266,0.00188381379429284,0.002468955053039277,0.39024420396528275
WBGene00009280,F31B9.3,96,126,32999,33053,0.002909179066032304,0.003812059419719844,0.38995850708916624
WBGene00001909,his-35,85,154,49185,68011,0.0017281691572633934,0.0022643395921248034,0.38984590238144173
WBGene00020891,T28C12.4,47,81,15192,19988,0.003093733543970511,0.004052431458875325,0.389438838620597
WBGene00022380,Y94H6A.8,64,93,59952,66518,0.0010675206832132373,0.001398117802700021,0.3892219021936458
WBGene00196434,K06C4.19,4,3,5123,2934,7.807925043919579e-4,0.0010224948875255625,0.38908252150233
WBGene00001896,his-22,52,39,21982,12594,0.002365571831498499,0.0030967127203430206,0.38854858200650944
WBGene00014006,ZK596.1,12,52,6762,22390,0.001774622892635315,0.0023224653863331843,0.38814461057335314
WBGene00006705,ubc-8,26,16,13289,6250,0.001956505380389796,0.00256,0.3878647325697507
WBGene00012180,W01D2.3,351,259,99392,56063,0.0035314713457823567,0.0046198027219378195,0.38756185539991916
WBGene00044341,ave-1,10,14,5767,6175,0.0017340038148083927,0.0022672064777327933,0.3868087128679594
WBGene00011945,alg-5,487,483,274002,207890,0.0017773592893482529,0.002323344076194141,0.3864674776950879
WBGene00010667,K08E4.3,36,56,18430,21935,0.0019533369506239827,0.002552997492591748,0.38625128522677427
WBGene00001946,his-72,76,91,57727,52901,0.0013165416529526911,0.0017201943252490501,0.3858183847922868
WBGene00019097,F59B1.2,125,158,53442,51721,0.0023389843194491222,0.003054851994354324,0.3852202941803598
WBGene00011280,pelo-1,99,81,48260,30234,0.0020513883133029425,0.002679102996626315,0.38514943621721986
WBGene00000392,cdd-2,19,12,12090,5849,0.0015715467328370554,0.0020516327577363653,0.3845873376733995
WBGene00022737,tofu-7,91,122,43248,44425,0.0021041435442101367,0.0027462014631401237,0.38420433809548193
WBGene00014213,ZK1073.1,40,75,17227,24749,0.0023219364950368606,0.003030425471736232,0.3841918472689305
WBGene00022206,Y73B3A.4,115,121,43658,35201,0.0026341105868340283,0.0034374023465242464,0.3840028134850252
WBGene00015658,tsg-101,208,244,105571,94917,0.0019702380388553673,0.002570667003803323,0.38377279731009584
WBGene00000874,cyk-3,462,552,189341,173430,0.0024400420405511747,0.003182840339041688,0.3834087839889134
WBGene00011803,T16G12.1,39,111,24970,54483,0.0015618742490989188,0.0020373327459941633,0.3834033240317206
WBGene00219700,linc-6,187,146,77486,46386,0.002413339183852567,0.0031475014012848704,0.383176326206085
WBGene00019647,K11D12.7,30,30,15501,11886,0.0019353590090961873,0.002523977788995457,0.38309800353537377
WBGene00011115,R07E5.7,237,240,103423,80317,0.0022915599044699923,0.0029881594183049664,0.38292711775927696
WBGene00012560,Y37D8A.25,10,10,15421,11836,6.484663770183516e-4,8.448800270361609e-4,0.3817147205645658
WBGene00017487,F15E6.6,40,28,10489,5636,0.003813518924587663,0.0049680624556423,0.38156045126036264
WBGene00017621,F20A1.10,4,9,2872,4961,0.001392757660167131,0.0018141503729086877,0.38134979337268554
WBGene00003587,ned-8,52,64,30839,29175,0.0016861765945718084,0.0021936589545844044,0.37958361042594385
WBGene00008918,F17C11.7,159,181,118674,103843,0.0013398048435209061,0.0017430158990013771,0.379562856651899
WBGene00197401,K08E3.13,12,13,9677,8060,0.0012400537356618787,0.0016129032258064516,0.3792572406360242
WBGene00008481,E04D5.2,22,25,8646,7555,0.002544529262086514,0.0033090668431502318,0.3790256519811396
WBGene00021876,Y54G2A.11,52,15,19299,4282,0.0026944401264314215,0.003503035964502569,0.37862027114971153
WBGene00008118,madf-8,89,88,37891,28826,0.002348842733102848,0.003052799555956428,0.37818274575328725
WBGene00044188,F28F8.9,109,139,48084,47193,0.002266866317278097,0.002945352064924883,0.37774077883944374
WBGene00011226,slc-25A21,15,42,13008,28034,0.0011531365313653136,0.0014981807804808447,0.37764838130667233
WBGene00022028,Y65B4A.4,39,63,17221,21419,0.0022646768480343764,0.0029413137868247816,0.3771554993334272
WBGene00018238,F40F4.7,42,54,21379,21172,0.001964544646615838,0.002550538447005479,0.37660689305921513
WBGene00009302,F31F6.3,5,4,3559,2194,0.0014048890137679123,0.0018231540565177757,0.3759803122192301
WBGene00017904,lim-8,41,74,13475,18746,0.0030426716141001855,0.003947508801877734,0.3756038461561818
WBGene00004985,spo-11,101,95,67721,49107,0.0014914132986813544,0.0019345510823304214,0.37531871306330616
WBGene00013247,Y57A10A.2,58,39,22689,11763,0.002556304817312354,0.0033154807447079828,0.3751582007977827
WBGene00003599,nhl-3,5,14,3118,6733,0.001603592046183451,0.0020793108569731175,0.3747982903771356
WBGene00006757,unc-18,97,129,46030,47232,0.0021073213121877037,0.00273119918699187,0.37412422928697914
WBGene00021123,W09G12.9,25,27,5230,4359,0.004780114722753346,0.006194081211286993,0.37384505516905014
WBGene00016848,klo-1,51,64,21395,20721,0.0023837345174106098,0.003088654022489262,0.3737547075065624
WBGene00010721,K09E4.3,105,149,51756,56702,0.00202875028982147,0.0026277732707840995,0.373249501718265
WBGene00009320,F32B6.3,71,75,44054,35931,0.0016116584192127842,0.002087334056942473,0.3731155016955521
WBGene00011979,T24B8.5,50,117,11706,21152,0.004271313856142149,0.005531391830559758,0.37296263163117077
WBGene00015801,C15H9.5,12,20,6432,8280,0.0018656716417910447,0.0024154589371980675,0.3726022329584472
WBGene00006599,tpa-1,17,45,7535,15407,0.0022561380225613803,0.0029207503083014215,0.3724836996153601
WBGene00001853,hil-2,302,57,142539,20784,0.0021187183858452775,0.0027424942263279445,0.37229674193799767
WBGene00012134,T28F3.8,134,144,53969,44826,0.002482906853934666,0.0032124213626020613,0.3716309988332705
WBGene00020858,mop-25.3,189,184,86485,65079,0.0021853500607041682,0.002827332933818897,0.371577381744715
WBGene00001049,dog-1,349,371,138720,114024,0.002515859284890427,0.0032537009752332843,0.3710304363883483
WBGene00012514,Y26E6A.3,11,39,4152,11393,0.0026493256262042388,0.003423154568594751,0.3697012621069485
WBGene00007923,C34C12.4,11,35,4706,11592,0.002337441563960901,0.0030193236714975845,0.3692951239750372
WBGene00020649,sma-10,11,19,6372,8521,0.001726302573760201,0.0022297852364745923,0.3692194107509902
WBGene00012562,Y37H2A.1,83,94,42356,37168,0.001959580696949665,0.002529057253551442,0.36805471214276597
WBGene00008061,C41G7.3,177,165,102279,73903,0.0017305605256210952,0.00223265631977051,0.36752178936118224
WBGene00003078,lsm-4,74,99,37315,38696,0.0019831167090982177,0.002558403969402522,0.3674744976778571
WBGene00004237,ptr-23,6,13,2781,4671,0.002157497303128371,0.0027831299507600086,0.3673495169664298
WBGene00000901,daf-5,130,152,50360,45648,0.002581413820492454,0.0033298282509638976,0.3672863314397902
WBGene00022279,sesn-1,59,134,26572,46802,0.002220382357368659,0.0028631255074569465,0.36678277849963725
WBGene00021689,Y48G8AL.10,143,124,64879,43635,0.0022041030225496694,0.002841755471525152,0.3665907594728662
WBGene00021508,Y41D4A.6,132,197,51601,59747,0.002558089959496909,0.003297236681339649,0.3661904499780087
WBGene00045201,smy-10,19,29,17742,21029,0.0010709051967083755,0.0013790479813590756,0.3648418842987579
WBGene00009455,phip-1,39,49,19848,19370,0.0019649334945586456,0.0025296850800206505,0.36447731165477465
WBGene00020886,ttr-6,153,188,77512,73984,0.001973887914129425,0.0025410899653979238,0.36440738416667995
WBGene00010064,F54F7.2,21,78,8925,25764,0.002352941176470588,0.0030274802049371215,0.36365227330738314
WBGene00007711,lid-1,349,401,136293,121717,0.002560659755086468,0.003294527469457841,0.3635559867520759
WBGene00010608,K07A1.1,47,49,23523,19071,0.0019980444671172893,0.0025693461276283364,0.36281256383662447
WBGene00015976,C18E3.9,65,73,41984,36688,0.0015482088414634147,0.001989751417357174,0.361988110888853
WBGene00009656,F43G6.3,36,41,21031,18653,0.0017117588322000856,0.0021980378491395485,0.36073677265096915
WBGene00004043,plk-2,320,377,177383,162839,0.0018040060208700946,0.0023151701987853034,0.35991410292090203
WBGene00021238,gap-3,145,125,72780,48890,0.0019923055784556195,0.0025567600736346903,0.3598778404806819
WBGene00010408,mboa-2,28,19,18047,9549,0.0015515044051642932,0.0019897371452508115,0.3589100626527284
WBGene00017044,mrpl-18,92,106,49253,44253,0.0018679065234605,0.0023953178315594425,0.35879483858625355
WBGene00002273,lec-10,215,235,150991,128782,0.001423925929360028,0.0018247891786119178,0.3578556950263083
WBGene00006763,unc-26,345,283,127672,81725,0.002702236982267059,0.00346283267054145,0.35779847347592375
WBGene00000418,ced-4,135,129,68360,50983,0.001974839087185489,0.0025302551831002493,0.3575477868168451
WBGene00013807,Y116A8C.30,42,57,21013,22260,0.0019987626707276447,0.002560646900269542,0.3574011472068483
WBGene00017290,F09E5.12,85,94,38048,32845,0.0022340201850294364,0.0028619272339777744,0.357344770187955
WBGene00016376,sec-10,189,203,92997,77984,0.0020323236233426886,0.0026030980713992614,0.35709951371053716
WBGene00008534,F02H6.1,9,11,3696,3527,0.002435064935064935,0.0031187978451942162,0.3570297981847909
WBGene00001589,gip-1,242,216,112498,78418,0.002151149353766289,0.002754469637073121,0.35666686575210577
WBGene00008488,F01D4.5,53,52,20412,15645,0.002596511855771115,0.0033237456056248002,0.3562351518341498
WBGene00022450,ubc-26,90,113,51470,50490,0.0017485914124732854,0.0022380669439492967,0.3560599712409422
WBGene00011040,R05H5.5,46,34,25632,14802,0.0017946317103620475,0.0022969868936630186,0.3560548165807573
WBGene00022402,lmtr-2,24,36,14333,16804,0.0016744575455243146,0.0021423470602237563,0.35549841744007055
WBGene00015755,C14B9.10,92,140,41065,48848,0.0022403506635821258,0.002866033409760891,0.3553308643063828
WBGene00044345,Y48G1C.12,77,70,44972,31963,0.0017121764653562216,0.0021900322247598784,0.3551206975369372
WBGene00013385,Y62E10A.19,23,18,7468,4570,0.0030798071772897696,0.003938730853391685,0.3548908076660696
WBGene00007603,C15C6.4,71,98,25182,27180,0.002819474227622905,0.0036055923473142016,0.35481013756283836
WBGene00008133,efsc-1,17,27,6063,7530,0.0028038924624773213,0.0035856573705179283,0.3548066184547302
WBGene00015580,cls-1,34,22,16656,8428,0.002041306436119116,0.0026103464641670624,0.35474853186906896
WBGene00009606,F40G12.11,210,206,92039,70635,0.0022816414780690796,0.002916401217526722,0.3541170949825801
WBGene00016740,C48B6.2,55,89,23812,30160,0.002309759784982362,0.0029509283819628648,0.353426088313824
WBGene00010036,cpar-1,168,167,80096,62358,0.002097483020375549,0.002678084608229898,0.35254240842632556
WBGene00006393,taf-11.1,34,30,13732,9490,0.002475968540635013,0.003161222339304531,0.35248952440696407
WBGene00044926,Y39G10AR.24,26,26,5253,4115,0.004949552636588616,0.006318347509113001,0.35224915384572575
WBGene00195289,Y39G10AR.26,26,26,5253,4115,0.004949552636588616,0.006318347509113001,0.35224915384572575
WBGene00219313,C17E4.20,195,144,68596,39699,0.002842731354597936,0.003627295397868964,0.3516164724932536
WBGene00012117,T28B11.1,529,563,271797,226767,0.001946305514777573,0.0024827245586879925,0.35118602313540986
WBGene00018290,vps-60,219,252,124818,112597,0.0017545546315435273,0.00223807028606446,0.35115047490484336
WBGene00019498,K07E8.7,72,80,39321,34253,0.0018310826276035706,0.0023355618485972032,0.3510727557941468
WBGene00004227,ptr-13,16,38,7665,14276,0.002087410306588389,0.0026618100308209583,0.3506934039407027
WBGene00003136,mau-2,120,119,75233,58510,0.001595044727712573,0.0020338403691676638,0.3506095701325842
WBGene00010309,rpn-6.2,28,16,8797,3945,0.003182903262475844,0.004055766793409379,0.34963138974539676
WBGene00016291,C31H1.8,637,582,317389,227653,0.0020070008727460626,0.0025565224266756864,0.34914143782927104
